id,zona,piso,estrato,preciom,areaconst,parquea,banios,habitac,tipo,barrio,longitud,latitud
3276,Zona Norte,2,5,480,158,NA,3,4,Casa,la flora,-76.5255,3.48664
3277,Zona Norte,3,5,240,120,NA,2,3,Apartamento,san vicente,-76.52553,3.4645
3278,Zona Sur,1,3,227,150,1,1,3,Casa,cristobal colón,-76.52557,3.42136
3279,Zona Norte,6,6,480,115,2,4,3,Apartamento,menga,-76.52561,3.48943
3280,Zona Sur,3,4,188,60,1,2,3,Apartamento,la hacienda,-76.52561,3.39639
3281,Zona Sur,3,5,340,98,1,3,3,Apartamento,la hacienda,-76.52561,3.39322
3282,Zona Norte,2,4,139,64,NA,2,3,Apartamento,menga,-76.52563,3.48725
3283,Zona Sur,5,4,190,65,1,2,3,Apartamento,la hacienda,-76.52563,3.39676
3284,Zona Norte,NA,6,1250,330,6,5,4,Casa,menga,-76.52566,3.49078
3285,Zona Norte,2,4,149,60,NA,1,2,Apartamento,menga,-76.52566,3.49078
3286,Zona Norte,2,4,165,60,NA,2,2,Apartamento,menga,-76.52566,3.49078
3287,Zona Norte,2,4,120,60,1,2,2,Apartamento,menga,-76.52566,3.49078
3288,Zona Norte,NA,4,340,121,2,3,3,Apartamento,menga,-76.52566,3.49078
3289,Zona Centro,1,3,180,88,NA,1,3,Casa,guayaquil,-76.52567,3.43979
3290,Zona Sur,3,5,280,112,1,3,4,Apartamento,el ingenio,-76.52567,3.38063
3291,Zona Norte,NA,5,410,240,2,3,4,Casa,san vicente,-76.52569,3.46749
3292,Zona Norte,2,5,730,500,4,4,6,Casa,san vicente,-76.52569,3.46749
3293,Zona Norte,1,5,650,385,NA,5,5,Casa,san vicente,-76.52569,3.46749
3294,Zona Norte,3,4,107,102,NA,1,2,Apartamento,san vicente,-76.52569,3.46749
3295,Zona Sur,NA,3,315,330,NA,5,8,Casa,zona sur,-76.5257,3.40671
3296,Zona Sur,1,4,155,56,NA,2,3,Apartamento,guadalupe,-76.52573,3.40297
3297,Zona Norte,NA,5,300,110,NA,3,3,Casa,acopi,-76.52574,3.37124
3298,Zona Sur,6,5,250,70,1,2,3,Apartamento,valle del lili,-76.52574,3.3678
3299,Zona Norte,NA,4,175,65,NA,2,2,Apartamento,acopi,-76.52574,3.37124
3300,Zona Norte,NA,4,175,65,NA,2,3,Apartamento,acopi,-76.52574,3.37124
3301,Zona Sur,2,3,260,340,NA,3,5,Casa,cristobal colón,-76.52577,3.42117
3302,Zona Sur,NA,3,260,212,NA,2,8,Casa,cristobal colón,-76.52579,3.42132
3303,Zona Sur,NA,5,290,90,1,2,3,Apartamento,valle del lili,-76.52579,3.36683
3304,Zona Norte,2,5,250,105,1,3,4,Apartamento,san vicente,-76.52579,3.46827
3305,Zona Norte,1,4,480,312.5,1,4,7,Casa,san vicente,-76.52581,3467
3306,Zona Sur,2,5,550,270,3,4,4,Casa,san joaquín,-76.52583,3.43267
3307,Zona Sur,NA,5,290,91,2,3,3,Apartamento,el ingenio,-76.52586,3.38066
3308,Zona Sur,6,4,165,60,1,2,3,Apartamento,valle del lili,-76.52588,3.3726
3309,Zona Sur,NA,5,268,90,1,3,3,Apartamento,valle del lili,-76.52588,3.37262
3310,Zona Norte,3,5,210,70,NA,2,2,Apartamento,valle del lili,-76.52588,3.3726
3311,Zona Sur,NA,4,153,66,1,2,3,Apartamento,valle del lili,-76.52588,3.37262
3312,Zona Sur,NA,5,168,63,1,2,3,Apartamento,valle del lili,-76.52588,3.3726
3313,Zona Sur,NA,6,320,95,1,3,3,Apartamento,ciudad jardín,-76.52592,3.36378
3314,Zona Sur,3,4,185,65,1,2,3,Apartamento,la hacienda,-76.52592,3.39676
3315,Zona Sur,5,4,185,65,1,2,3,Apartamento,la hacienda,-76.52592,3.39676
3316,Zona Sur,2,4,182,60,1,2,3,Apartamento,la hacienda,-76.52592,3.39676
3317,Zona Sur,3,4,180,60.65,1,2,3,Apartamento,la hacienda,-76.52592,3.39676
3318,Zona Norte,NA,4,430,270,2,3,4,Casa,la campiña,-76.52593,3.48099
3319,Zona Sur,1,5,270,75,1,2,3,Apartamento,la hacienda,-76.52596,3.39605
3320,Zona Sur,NA,3,150,90,NA,2,3,Apartamento,las granjas,-76.52598,3.40835
3321,Zona Sur,NA,4,170,60,NA,2,2,Apartamento,la hacienda,-76.52599,3.39605
3322,Zona Sur,5,3,125,60,1,1,3,Apartamento,cañaverales,-76.52599,3.39979
3411,Zona Sur,3,4,340,179,1,4,5,Casa,zona sur,-76.52604,3.4049
3412,Zona Sur,2,6,679,250,2,6,5,Casa,pance,-76.52604,3.33574
3413,Zona Sur,2,6,1550,420,3,6,4,Casa,pance,-76.52604,3.3504
3414,Zona Norte,1,4,240,98,1,3,4,Apartamento,la flora,-76.52604,3.4735
3415,Zona Sur,7,4,170,55,NA,2,2,Apartamento,la hacienda,-76.52605,3.3965
3416,Zona Sur,3,5,440,210,2,5,5,Casa,san joaquín,-76.52605,3.37771
3417,Zona Norte,7,5,210,117,1,3,4,Apartamento,san vicente,-76.52606,3.46861
3418,Zona Norte,NA,5,450,210,NA,4,4,Casa,acopi,-76.52607,3.37606
3419,Zona Sur,3,6,460,130,2,5,5,Casa,pance,-76.5261,3.35817
3420,Zona Sur,NA,4,145,62,1,2,3,Apartamento,valle del lili,-76.52612,3.36843
3421,Zona Sur,2,6,850,400,3,5,3,Casa,ciudad jardín,-76.52613,3.35569
3422,Zona Sur,NA,5,300,112,1,3,4,Apartamento,el ingenio,-76.52613,3.38058
3423,Zona Sur,3,5,330,98,1,3,3,Casa,valle del lili,-76.52616,3.46978
3424,Zona Sur,2,5,285,119,1,4,3,Casa,valle del lili,-76.52616,3.46978
3425,Zona Sur,11,4,210,68,NA,2,3,Apartamento,valle del lili,-76.52616,3.46978
3426,Zona Sur,11,5,210,68,1,2,3,Apartamento,valle del lili,-76.52616,3.46978
3427,Zona Sur,10,5,260,78,1,2,3,Apartamento,valle del lili,-76.52616,3.46978
3428,Zona Sur,3,5,200,68,1,2,3,Apartamento,valle del lili,-76.52616,3.46978
3429,Zona Sur,5,5,245,78,1,2,3,Apartamento,valle del lili,-76.52616,3.46978
3430,Zona Sur,8,5,250,78,NA,2,3,Apartamento,valle del lili,-76.52616,3.46978
3431,Zona Sur,8,5,245,78,NA,2,3,Apartamento,valle del lili,-76.52616,3.46978
3432,Zona Sur,8,5,230,78,1,2,3,Apartamento,valle del lili,-76.52616,3.46978
3433,Zona Sur,4,5,270,100,2,2,3,Apartamento,el ingenio,-76.52618,3.38052
3434,Zona Sur,NA,3,350,624,NA,0,0,Casa,santa elena,-76.52618,3.4281
3435,Zona Sur,3,5,440,210,2,5,5,Casa,san joaquín,-76.52621,3.37787
3436,Zona Sur,1,5,470,180,NA,4,4,Casa,el ingenio,-76.52621,3.37787
3437,Zona Sur,1,5,550,350,2,4,4,Casa,san joaquín,-76.52621,3.37533
3438,Zona Norte,NA,5,480,353,1,5,4,Casa,el bosque,-76.52623,3.4853
3439,Zona Norte,NA,5,260,138,NA,4,3,Apartamento,Cali,-76.52628,3.38525
3440,Zona Sur,4,6,419,181,2,3,3,Apartamento,multicentro,-76.52628,3434
3441,Zona Sur,5,3,75,48,NA,1,2,Apartamento,zona sur,-76.52629,3.43252
3442,Zona Sur,1,3,75,40,NA,1,2,Apartamento,melendez,-76.52629,3.43252
3443,Zona Sur,3,5,280,105,1,3,4,Apartamento,el ingenio,-76.52629,3.3804
3444,Zona Sur,3,5,290,101,2,3,4,Apartamento,el ingenio,-76.52629,3.3804
3445,Zona Sur,6,6,328,93,1,3,3,Apartamento,ciudad jardín,-76.5263,3.36477
3446,Zona Norte,NA,4,150,63,NA,2,2,Apartamento,acopi,-76.52634,3.37111
3447,Zona Norte,NA,4,150,59,NA,2,3,Apartamento,acopi,-76.52634,3.37111
3448,Zona Sur,5,6,590,135,2,5,4,Apartamento,pance,-76.52634,3.45413
3449,Zona Norte,1,5,1500,400,2,3,4,Casa,menga,-76.52636,3.49331
3450,Zona Sur,4,5,350,104,1,3,4,Apartamento,la hacienda,-76.52636,3.39387
3451,Zona Sur,4,4,165,59,NA,2,2,Apartamento,ciudad bochalema,-76.52638,3.43409
3452,Zona Sur,NA,4,180,65,1,2,3,Apartamento,guadalupe,-76.52639,3.40092
3453,Zona Norte,NA,5,340,240,2,5,6,Casa,la campiña,-76.5264,3.48211
3454,Zona Sur,4,5,240,86,1,2,3,Apartamento,multicentro,-76.52643,3.43435
3455,Zona Sur,7,5,320,80,1,2,3,Apartamento,el ingenio 3,-76.52643,3.38071
3456,Zona Sur,2,6,600,170,2,4,4,Casa,san joaquín,-76.52644,3.37595
3457,Zona Sur,3,5,320,98,2,2,3,Apartamento,multicentro,-76.52645,3.43402
3458,Zona Norte,7,5,415,118,2,5,0,Apartamento,chipichape,-76.52645,3.47802
3459,Zona Sur,2,6,730,260,1,6,6,Casa,ciudad jardín,-76.52646,3.43308
3460,Zona Norte,8,5,300,152,1,3,3,Apartamento,versalles,-76.52646,3.46426
3461,Zona Sur,9,5,300,87,2,2,3,Apartamento,el ingenio,-76.52647,3.3797
3462,Zona Sur,3,5,720,195,2,5,5,Casa,el ingenio,-76.52647,3.38504
3463,Zona Norte,NA,5,190,68,NA,2,2,Apartamento,Cali,-76.52647,3.37135
3464,Zona Sur,9,6,350,88,2,3,3,Apartamento,el ingenio,-76.52647,3.38007
3465,Zona Sur,NA,3,350,110,3,3,4,Casa,cañaverales,-76.52648,3.40202
3466,Zona Sur,1,5,470,180,NA,3,4,Casa,el ingenio,-76.52649,3.37774
3467,Zona Sur,3,5,340,98,1,3,3,Apartamento,la hacienda,-76.5265,3.39307
3468,Zona Sur,4,4,160,61,NA,1,2,Apartamento,bosques del limonar,-76.52653,3.43217
3469,Zona Sur,9,6,285,81,1,2,3,Apartamento,ciudad jardín,-76.52654,3.36404
3470,Zona Centro,2,3,150,96,NA,2,4,Casa,junin,-76.52656,3.43449
3471,Zona Sur,5,5,220,56,1,2,2,Apartamento,el ingenio,-76.52656,3.38268
3472,Zona Sur,11,6,315,85,1,2,3,Apartamento,ciudad jardín,-76.52656,3.36383
3473,Zona Sur,NA,6,480,186,2,5,4,Casa,ciudad jardín,-76.52658,3.35737
3474,Zona Sur,2,6,700,243,5,6,5,Casa,ciudad jardín,-76.52659,3.36336
3475,Zona Sur,5,4,140,64,1,2,3,Apartamento,las granjas,-76.52659,3.40876
3476,Zona Sur,2,5,267,77,1,2,2,Apartamento,el ingenio,-76.52659,3.38273
3477,Zona Sur,3,5,260,86,1,4,3,Apartamento,el ingenio,-76.5266,3.38534
3478,Zona Sur,NA,6,320,96,1,3,3,Apartamento,ciudad jardín,-76.5266,3.36437
3479,Zona Norte,NA,6,620,480,NA,5,5,Apartamento,acopi,-76.52662,3.36322
3480,Zona Norte,NA,5,900,296,4,4,4,Apartamento,versalles,-76.52664,3.46065
3481,Zona Sur,NA,6,320,96,1,3,3,Apartamento,ciudad jardín,-76.52664,3.36432
3482,Zona Sur,1,5,248,73,1,2,3,Apartamento,ciudad jardín,-76.52664,3.36417
3483,Zona Sur,NA,6,780,500,3,8,9,Casa,el ingenio,-76.52665,3.38397
3484,Zona Norte,2,5,650,339,2,3,4,Casa,versalles,-76.52669,3.46819
3485,Zona Sur,2,5,550,332,2,4,5,Casa,san joaquín,-76.5267,3.37721
3486,Zona Sur,NA,3,285,200,1,5,4,Casa,el guabal,-76.5267,3.41457
3487,Zona Sur,1,4,220,72,1,2,3,Apartamento,ciudad bochalema,-76.5267,3.46782
3488,Zona Sur,3,4,360,215,1,6,6,Casa,zona sur,-76.52673,3.40436
3489,Zona Sur,2,4,430,350,1,4,5,Casa,colseguros,-76.52673,3.42799
3490,Zona Sur,5,5,240,68,1,2,3,Apartamento,zona sur,-76.52673,3.37677
3491,Zona Norte,3,4,300,287,1,3,4,Apartamento,la campiña,-76.52673,3.47907
3492,Zona Norte,2,5,280,105,1,3,3,Apartamento,prados del norte,-76.52675,3.46729
3493,Zona Centro,2,3,700,300,6,5,4,Casa,guayaquil,-76.52678,3.44086
3494,Zona Centro,NA,3,245,255,1,3,4,Casa,guayaquil,-76.52679,3.43867
3495,Zona Norte,3,5,490,118,2,4,4,Casa,acopi,-76.5268,3.37823
3496,Zona Norte,3,3,150,67,1,2,2,Apartamento,la campiña,-76.52681,3.48091
3497,Zona Norte,11,5,460,95,2,2,3,Apartamento,norte la flora,-76.52682,3.47316
3498,Zona Sur,9,6,285,81,1,2,3,Apartamento,ciudad jardín,-76.52682,3.36385
3499,Zona Norte,1,4,650,220,NA,7,7,Casa,san vicente,-76.52683,3.46778
3500,Zona Norte,1,6,580,150,2,3,3,Apartamento,chipichape,-76.52685,3.47832
3501,Zona Sur,3,6,660,171,2,4,3,Casa,pance,-76.52686,3.34404
3502,Zona Sur,3,3,243,160,NA,3,6,Casa,las granjas,-76.52686,3.40933
3503,Zona Sur,2,6,780,289,3,5,5,Casa,pance,-76.5269,3.33924
3504,Zona Sur,6,4,152,68.23,1,4,4,Apartamento,colseguros,-76.52692,3.43146
3505,Zona Sur,3,3,135,70,1,1,3,Apartamento,las granjas,-76.52694,3.40966
3559,Zona Norte,NA,6,310,93,NA,3,3,Apartamento,acopi,-76.52701,3.36394
3560,Zona Oeste,NA,5,480,245,NA,4,3,Apartamento,norte,-76.52702,3.45393
3561,Zona Sur,5,6,290,83,1,2,3,Apartamento,ciudad jardín,-76.52703,3.3644
3562,Zona Sur,11,5,300,94,2,2,3,Apartamento,zona sur,-76.52707,3.36406
3563,Zona Norte,4,4,190,104.12,1,3,3,Apartamento,san vicente,-76.52707,3.46279
3564,Zona Sur,NA,5,210,66,NA,2,1,Apartamento,el ingenio,-76.52707,3.38268
3565,Zona Sur,11,6,315,84,1,2,3,Apartamento,ciudad jardín,-76.52707,3.36417
3566,Zona Sur,10,5,360,110,2,3,3,Apartamento,ciudad jardín,-76.52707,3.36406
3567,Zona Sur,NA,5,360,106,2,3,4,Apartamento,ciudad jardín,-76.52707,3.36406
3568,Zona Sur,9,5,310,90,2,2,3,Apartamento,ciudad jardín,-76.52707,3.36406
3569,Zona Norte,3,5,300,77,1,2,2,Apartamento,chipichape,-76.52707,3.47573
3570,Zona Norte,4,5,440,116,2,3,3,Apartamento,la flora,-76.52708,3.48931
3571,Zona Sur,1,5,288,77.58,1,2,3,Apartamento,ciudad jardín,-76.52708,3.36481
3572,Zona Norte,5,5,450,307,4,4,5,Apartamento,versalles,-76.52708,3.46439
3573,Zona Norte,2,5,176,140,NA,3,3,Apartamento,san vicente,-76.52708,3.46405
3574,Zona Norte,6,6,590,243,2,4,3,Apartamento,menga,-76.52711,3.49099
3575,Zona Sur,3,4,350,123,2,3,3,Casa,valle del lili,-76.52712,3.36335
3576,Zona Norte,6,4,225,73,1,3,2,Apartamento,versalles,-76.52712,3.4681
3577,Zona Sur,2,6,950,256,4,6,4,Casa,ciudad jardín,-76.52713,3.35786
3578,Zona Sur,2,5,440,172,2,4,3,Casa,san joaquín,-76.52714,3.37814
3579,Zona Norte,1,5,470,152,2,2,3,Apartamento,chipichape,-76.52714,3.47538
3580,Zona Centro,1,3,256,138,1,1,3,Casa,junin,-76.52715,3.4313
3581,Zona Centro,2,3,390,303,1,4,7,Casa,junin,-76.52716,3.4349
3582,Zona Sur,6,5,285,94,1,2,3,Apartamento,ciudad bochalema,-76.52716,3.43135
3583,Zona Centro,2,3,250,150,1,2,9,Casa,junin,-76.52717,3.43552
3584,Zona Sur,2,5,530,170,2,4,3,Casa,san joaquín,-76.52718,3.37655
3585,Zona Sur,9,4,155,62,NA,2,2,Apartamento,valle del lili,-76.52719,3.40896
3586,Zona Norte,1,4,330,240,1,2,3,Casa,la merced,-76.5272,3.48433
3587,Zona Sur,2,5,390,282,1,4,5,Casa,la hacienda,-76.5272,3.39365
3588,Zona Norte,1,5,520,370,NA,4,4,Casa,la flora,-76.5272,3.48433
3589,Zona Norte,1,5,520,370,NA,4,4,Casa,la flora,-76.5272,3.48433
3590,Zona Norte,1,5,520,300,NA,4,4,Casa,la flora,-76.5272,3.48433
3591,Zona Norte,1,5,520,300,NA,4,4,Casa,la flora,-76.5272,3.48433
3592,Zona Sur,NA,6,1150,222,2,4,3,Apartamento,pance,-76.5272,3.34832
3593,Zona Sur,1,5,360,110,2,3,4,Apartamento,la hacienda,-76.52721,3.39409
3594,Zona Sur,3,6,520,170,2,4,4,Casa,pance,-76.52721,3.35708
3595,Zona Oeste,NA,6,1150,194,3,4,3,Apartamento,santa teresita,-76.52722,3.46041
3596,Zona Sur,7,6,347,106.31,1,3,3,Apartamento,ciudad jardín,-76.52722,3.3647
3597,Zona Sur,NA,3,315,119,NA,5,6,Casa,el guabal,-76.52724,3.41622
3598,Zona Sur,9,6,310,93,1,3,3,Apartamento,ciudad jardín,-76.52724,3.36445
3599,Zona Sur,11,6,360,92,1,2,3,Apartamento,ciudad jardín,-76.52724,3.36445
3600,Zona Sur,2,5,690,240,2,4,4,Casa,el limonar,-76.52725,3.44376
3601,Zona Sur,NA,5,580,550,2,4,4,Casa,el ingenio,-76.52725,3.38243
3602,Zona Norte,NA,5,1400,480,NA,6,5,Casa,acopi,-76.52726,3.36365
3603,Zona Sur,1,6,833,213,2,3,3,Apartamento,ciudad jardin pance,-76.52726,3.34865
3604,Zona Norte,6,5,225,78,1,3,3,Apartamento,versalles,-76.52731,3.4627
3605,Zona Sur,2,6,960,570,3,6,5,Casa,pance,-76.52733,3.34718
3606,Zona Sur,2,6,1250,724,4,6,6,Casa,ciudad jardín,-76.52733,3.36345
3607,Zona Sur,3,6,650,226,4,5,5,Casa,ciudad jardín,-76.52733,3.34718
3608,Zona Sur,3,6,699,164,4,5,3,Apartamento,ponce,-76.52733,3.41198
3609,Zona Sur,1,6,515,164,2,3,3,Apartamento,pance,-76.52733,3.35089
3610,Zona Sur,3,4,240,160,1,3,4,Casa,valle del lili,-76.52734,3.37096
3611,Zona Sur,2,6,730,335,3,7,5,Casa,pance,-76.52734,3.33632
3612,Zona Sur,8,4,158,60,NA,2,3,Apartamento,zona sur,-76.52734,3.37096
3613,Zona Sur,9,4,320,100,1,3,4,Apartamento,valle del lili,-76.52734,3.37096
3614,Zona Sur,3,4,165,60,NA,2,3,Apartamento,valle del lili,-76.52734,3.37096
3615,Zona Sur,2,4,210,76,1,2,2,Apartamento,valle del lili,-76.52734,3.37096
3616,Zona Sur,1,5,300,90,NA,3,4,Apartamento,valle del lili,-76.52734,3.37096
3617,Zona Sur,NA,6,1250,800,7,6,6,Casa,pance,-76.52739,3.34436
3618,Zona Norte,5,5,190,145,NA,3,3,Apartamento,versalles,-76.5274,3.46356
3619,Zona Norte,NA,5,580,380,NA,5,5,Casa,acopi,-76.52741,3.38498
3620,Zona Norte,8,4,397,160.48,1,4,4,Apartamento,la campiña,-76.52741,3.48002
3621,Zona Sur,5,6,245,50.3,2,1,1,Apartamento,pance,-76.52742,3.34364
3622,Zona Sur,3,6,260,55,2,1,1,Apartamento,pance,-76.52742,3.34364
3623,Zona Sur,NA,6,350,120,2,2,2,Apartamento,ciudad jardín,-76.52742,3.34364
3624,Zona Sur,4,6,340,78,2,2,2,Apartamento,ciudad jardín,-76.52742,3.34363
3625,Zona Centro,3,3,310,165,NA,4,6,Casa,guayaquil,-76.52744,3.44125
3626,Zona Sur,NA,6,430,112,2,2,3,Apartamento,ciudad jardín,-76.52744,3.36474
3627,Zona Sur,8,6,650,185,2,3,3,Apartamento,ciudad jardín,-76.52745,3.3696
3628,Zona Sur,NA,3,190,180,NA,2,4,Casa,el guabal,-76.52748,3.41635
3629,Zona Centro,1,3,430,223,1,5,7,Casa,junin,-76.52749,3.4345
3630,Zona Sur,1,5,380,95,1,3,3,Apartamento,la hacienda,-76.5275,3.3958
3631,Zona Sur,NA,5,280,80,1,2,3,Apartamento,la hacienda,-76.5275,3.39306
3632,Zona Sur,5,5,370,82.45,2,2,3,Apartamento,la hacienda,-76.5275,3.39579
3633,Zona Sur,2,6,530,170,2,4,4,Casa,pance,-76.52752,3.35779
3634,Zona Sur,3,3,360,230,1,3,7,Casa,cristobal colón,-76.52753,3.42064
3635,Zona Sur,3,6,530,150,2,4,3,Casa,ciudad jardín,-76.52753,3.35735
3636,Zona Sur,NA,4,365,144,2,4,4,Casa,el limonar,-76.52754,3.40053
3637,Zona Sur,3,6,515,64,2,4,4,Casa,Ciudad Jardín,-76.52754,3.35748
3638,Zona Sur,NA,3,230,200,1,3,3,Casa,el guabal,-76.52755,3.41474
3639,Zona Norte,3,5,420,125,2,3,3,Apartamento,chipichape,-76.52756,3.48006
3640,Zona Sur,NA,6,870,245,1,4,3,Apartamento,zona sur,-76.52757,3.35436
3641,Zona Sur,2,6,1100,320,8,6,4,Casa,pance,-76.52759,3.34644
3642,Zona Sur,4,4,195,75,1,2,3,Apartamento,el limonar,-76.52759,3.40162
3643,Zona Sur,1,6,410,149,2,4,3,Casa,ciudad jardín,-76.5276,3.36485
3644,Zona Sur,2,6,280,95,1,2,3,Apartamento,zona sur,-76.5276,3.36485
